"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"ENV_VAR","ABUR",2002,"TEMP_MEAN_C","degrees C",15.0242322506767
"ENV_VAR","AHND",2002,"TEMP_MEAN_C","degrees C",15.1076735486656
"ENV_VAR","AQUE",2002,"TEMP_MEAN_C","degrees C",14.5166543671271
"ENV_VAR","CARP",2002,"TEMP_MEAN_C","degrees C",15.1369279218843
"ENV_VAR","GOLB",2002,"TEMP_MEAN_C","degrees C",15.3999690984154
"ENV_VAR","IVEE",2002,"TEMP_MEAN_C","degrees C",14.6629423243176
"ENV_VAR","MOHK",2002,"TEMP_MEAN_C","degrees C",15.0302585617503
"ENV_VAR","NAPL",2002,"TEMP_MEAN_C","degrees C",14.6425653529558
"ENV_VAR","ABUR",2003,"TEMP_MEAN_C","degrees C",14.150409130301
"ENV_VAR","AHND",2003,"TEMP_MEAN_C","degrees C",14.7675102609205
"ENV_VAR","AQUE",2003,"TEMP_MEAN_C","degrees C",13.6351388914474
"ENV_VAR","BULL",2003,"TEMP_MEAN_C","degrees C",13.9563909723014
"ENV_VAR","CARP",2003,"TEMP_MEAN_C","degrees C",14.8923954734364
"ENV_VAR","GOLB",2003,"TEMP_MEAN_C","degrees C",14.855385197499
"ENV_VAR","IVEE",2003,"TEMP_MEAN_C","degrees C",14.0961911966276
"ENV_VAR","MOHK",2003,"TEMP_MEAN_C","degrees C",14.7951060021679
"ENV_VAR","NAPL",2003,"TEMP_MEAN_C","degrees C",14.5314928691636
"ENV_VAR","ABUR",2004,"TEMP_MEAN_C","degrees C",15.0107994186047
"ENV_VAR","AHND",2004,"TEMP_MEAN_C","degrees C",14.8146413695594
"ENV_VAR","AQUE",2004,"TEMP_MEAN_C","degrees C",14.9836120925461
"ENV_VAR","BULL",2004,"TEMP_MEAN_C","degrees C",15.1195436628876
"ENV_VAR","CARP",2004,"TEMP_MEAN_C","degrees C",15.6466281123583
"ENV_VAR","GOLB",2004,"TEMP_MEAN_C","degrees C",15.6069621082621
"ENV_VAR","IVEE",2004,"TEMP_MEAN_C","degrees C",14.8615436356382
"ENV_VAR","MOHK",2004,"TEMP_MEAN_C","degrees C",15.4307618395917
"ENV_VAR","NAPL",2004,"TEMP_MEAN_C","degrees C",14.9990664792021
"ENV_VAR","ABUR",2005,"TEMP_MEAN_C","degrees C",14.4362127878407
"ENV_VAR","AHND",2005,"TEMP_MEAN_C","degrees C",14.8911229774762
"ENV_VAR","AQUE",2005,"TEMP_MEAN_C","degrees C",14.6082530813937
"ENV_VAR","BULL",2005,"TEMP_MEAN_C","degrees C",14.2250017519271
"ENV_VAR","CARP",2005,"TEMP_MEAN_C","degrees C",15.04513242765
"ENV_VAR","GOLB",2005,"TEMP_MEAN_C","degrees C",15.0725409602101
"ENV_VAR","IVEE",2005,"TEMP_MEAN_C","degrees C",14.2617266967293
"ENV_VAR","MOHK",2005,"TEMP_MEAN_C","degrees C",14.4452045461052
"ENV_VAR","NAPL",2005,"TEMP_MEAN_C","degrees C",14.6951024309519
"ENV_VAR","ABUR",2006,"TEMP_MEAN_C","degrees C",14.5350337258488
"ENV_VAR","AHND",2006,"TEMP_MEAN_C","degrees C",14.5308745383057
"ENV_VAR","AQUE",2006,"TEMP_MEAN_C","degrees C",14.7383205387974
"ENV_VAR","BULL",2006,"TEMP_MEAN_C","degrees C",14.5205296182657
"ENV_VAR","CARP",2006,"TEMP_MEAN_C","degrees C",15.1657348727695
"ENV_VAR","GOLB",2006,"TEMP_MEAN_C","degrees C",15.0923674750357
"ENV_VAR","IVEE",2006,"TEMP_MEAN_C","degrees C",14.3939491907048
"ENV_VAR","MOHK",2006,"TEMP_MEAN_C","degrees C",15.0065381099303
"ENV_VAR","NAPL",2006,"TEMP_MEAN_C","degrees C",14.6084085720808
"ENV_VAR","ABUR",2007,"TEMP_MEAN_C","degrees C",13.9674977161128
"ENV_VAR","AHND",2007,"TEMP_MEAN_C","degrees C",13.9744518670778
"ENV_VAR","AQUE",2007,"TEMP_MEAN_C","degrees C",14.2245176490747
"ENV_VAR","BULL",2007,"TEMP_MEAN_C","degrees C",13.7291834113483
"ENV_VAR","CARP",2007,"TEMP_MEAN_C","degrees C",14.4414527889847
"ENV_VAR","GOLB",2007,"TEMP_MEAN_C","degrees C",14.6210657330666
"ENV_VAR","IVEE",2007,"TEMP_MEAN_C","degrees C",13.932250522466
"ENV_VAR","MOHK",2007,"TEMP_MEAN_C","degrees C",14.3267753447341
"ENV_VAR","NAPL",2007,"TEMP_MEAN_C","degrees C",14.2689405920809
"ENV_VAR","ABUR",2008,"TEMP_MEAN_C","degrees C",14.2395514807925
"ENV_VAR","AHND",2008,"TEMP_MEAN_C","degrees C",14.1320941243582
"ENV_VAR","AQUE",2008,"TEMP_MEAN_C","degrees C",14.4701826276834
"ENV_VAR","BULL",2008,"TEMP_MEAN_C","degrees C",13.3552830052375
"ENV_VAR","CARP",2008,"TEMP_MEAN_C","degrees C",14.961433612704
"ENV_VAR","GOLB",2008,"TEMP_MEAN_C","degrees C",14.5246382215644
"ENV_VAR","IVEE",2008,"TEMP_MEAN_C","degrees C",14.0954640701515
"ENV_VAR","MOHK",2008,"TEMP_MEAN_C","degrees C",15.0129764208697
"ENV_VAR","NAPL",2008,"TEMP_MEAN_C","degrees C",14.2278366068887
"ENV_VAR","ABUR",2009,"TEMP_MEAN_C","degrees C",14.4149882957465
"ENV_VAR","AHND",2009,"TEMP_MEAN_C","degrees C",14.4003111155572
"ENV_VAR","AQUE",2009,"TEMP_MEAN_C","degrees C",14.7098475679379
"ENV_VAR","BULL",2009,"TEMP_MEAN_C","degrees C",13.8919571355927
"ENV_VAR","CARP",2009,"TEMP_MEAN_C","degrees C",15.0218109111682
"ENV_VAR","GOLB",2009,"TEMP_MEAN_C","degrees C",15.0190045148779
"ENV_VAR","IVEE",2009,"TEMP_MEAN_C","degrees C",NA
"ENV_VAR","MOHK",2009,"TEMP_MEAN_C","degrees C",14.6521762062847
"ENV_VAR","NAPL",2009,"TEMP_MEAN_C","degrees C",14.5381563017532
"ENV_VAR","ABUR",2010,"TEMP_MEAN_C","degrees C",13.7706189636624
"ENV_VAR","AHND",2010,"TEMP_MEAN_C","degrees C",13.8403916187863
"ENV_VAR","AQUE",2010,"TEMP_MEAN_C","degrees C",13.8090334365102
"ENV_VAR","BULL",2010,"TEMP_MEAN_C","degrees C",13.4193667817385
"ENV_VAR","CARP",2010,"TEMP_MEAN_C","degrees C",14.413247261166
"ENV_VAR","GOLB",2010,"TEMP_MEAN_C","degrees C",14.3982200228063
"ENV_VAR","IVEE",2010,"TEMP_MEAN_C","degrees C",13.6411192760078
"ENV_VAR","MOHK",2010,"TEMP_MEAN_C","degrees C",14.2507552420552
"ENV_VAR","NAPL",2010,"TEMP_MEAN_C","degrees C",13.8738854933516
"ENV_VAR","ABUR",2011,"TEMP_MEAN_C","degrees C",14.0519238447203
"ENV_VAR","AHND",2011,"TEMP_MEAN_C","degrees C",13.8890225040475
"ENV_VAR","AQUE",2011,"TEMP_MEAN_C","degrees C",13.5640072021116
"ENV_VAR","BULL",2011,"TEMP_MEAN_C","degrees C",13.8949124065967
"ENV_VAR","CARP",2011,"TEMP_MEAN_C","degrees C",14.4389943428571
"ENV_VAR","GOLB",2011,"TEMP_MEAN_C","degrees C",14.3595077995543
"ENV_VAR","IVEE",2011,"TEMP_MEAN_C","degrees C",13.6207501357647
"ENV_VAR","MOHK",2011,"TEMP_MEAN_C","degrees C",14.2913356763244
"ENV_VAR","NAPL",2011,"TEMP_MEAN_C","degrees C",13.9455440726878
